epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4931,1.44843,2.92474,1.74439,0.00311,1,0.79618,0.41702,1.2566,3.17489,1.53036,0.00014,0.00014,0.00014
2,63.8655,1.45419,2.15006,1.62163,0.00311,1,0.82103,0.45421,1.16795,3.03073,1.57286,0.00029703,0.00029703,0.00029703
3,90.7865,1.40494,1.9932,1.57217,0.65742,0.57143,0.7058,0.37399,1.39849,2.92533,1.6906,0.000450892,0.000450892,0.000450892
4,116.814,1.40009,1.93945,1.63231,0.01379,1,0.82172,0.49123,1.28191,2.87608,1.62522,0.000601586,0.000601586,0.000601586
5,143.032,1.27197,1.75385,1.49874,1,0.84092,0.97029,0.58129,1.35557,2.48394,1.59924,0.000749112,0.000749112,0.000749112
6,169.141,1.33437,1.53941,1.48638,0.75224,0.92857,0.86684,0.4331,1.47123,2.353,1.82621,0.00089347,0.00089347,0.00089347
7,194.738,1.31706,1.4697,1.45065,1,0.8694,0.995,0.61114,1.28772,2.25196,1.60443,0.00103466,0.00103466,0.00103466
8,220.172,1.3124,1.35595,1.40664,0.91406,0.78571,0.95011,0.57059,1.33512,2.22633,1.67743,0.00117268,0.00117268,0.00117268
9,246.344,1.25676,1.48153,1.438,0.75791,0.78571,0.93873,0.5258,1.46847,2.09898,1.74729,0.00130754,0.00130754,0.00130754
10,271.631,1.32438,1.4269,1.4575,0.88112,0.78571,0.89972,0.49032,1.48008,2.05575,1.7502,0.00143922,0.00143922,0.00143922
11,297.77,1.21232,1.41198,1.43295,0.96542,0.64286,0.78376,0.30584,1.71276,2.58816,2.25269,0.00156774,0.00156774,0.00156774
12,322.971,1.27486,1.38312,1.43358,0.85325,0.83186,0.83495,0.27752,1.92282,2.91313,2.6271,0.00169309,0.00169309,0.00169309
13,348.699,1.18766,1.38739,1.39506,0.64164,0.76816,0.67179,0.3468,1.6486,2.50713,2.0359,0.0017624,0.0017624,0.0017624
14,374.14,1.258,1.38353,1.43486,0.91585,0.77798,0.82252,0.34194,1.8259,2.01226,2.20076,0.0017426,0.0017426,0.0017426
15,399.729,1.30833,1.37854,1.47502,0.99009,0.71429,0.91123,0.4578,1.7065,1.88682,2.14794,0.0017228,0.0017228,0.0017228
16,425.07,1.26864,1.3772,1.49452,0.86738,0.93464,0.98125,0.58935,1.29324,2.04519,1.70635,0.001703,0.001703,0.001703
17,450.277,1.21806,1.27958,1.46653,1,0.97926,0.995,0.64733,1.17389,2.06134,1.59285,0.0016832,0.0016832,0.0016832
18,475.576,1.1741,1.27374,1.43316,0.86664,0.92834,0.90482,0.4702,1.50626,2.24643,1.7995,0.0016634,0.0016634,0.0016634
19,501.366,1.15578,1.16753,1.38981,0.7355,0.64286,0.73652,0.34674,1.85186,2.88676,2.16375,0.0016436,0.0016436,0.0016436
20,526.399,1.16506,1.22726,1.37845,0.80855,0.64286,0.74822,0.34669,1.72421,3.14258,2.05368,0.0016238,0.0016238,0.0016238
21,551.34,1.12284,1.25703,1.34252,0.83859,0.71429,0.79132,0.45775,1.58408,2.28622,1.99884,0.001604,0.001604,0.001604
22,577.362,1.11312,1.17467,1.33756,0.90418,0.85714,0.90159,0.52466,1.33911,1.62726,1.75328,0.0015842,0.0015842,0.0015842
23,602.645,1.214,1.18374,1.42908,0.86062,1,0.97625,0.62178,1.18245,1.36057,1.50703,0.0015644,0.0015644,0.0015644
24,628.945,1.11388,1.04404,1.31618,0.88815,1,0.967,0.63046,1.22082,1.428,1.54346,0.0015446,0.0015446,0.0015446
25,657.724,1.09769,1.16811,1.35576,0.90584,0.85714,0.93488,0.55522,1.30257,1.55461,1.62235,0.0015248,0.0015248,0.0015248
26,686.457,1.07669,1.07204,1.33426,0.96667,0.92857,0.98265,0.58966,1.2552,1.43035,1.58195,0.001505,0.001505,0.001505
27,714.972,1.06749,0.99096,1.28751,0.86136,0.88877,0.95396,0.56466,1.28902,1.47432,1.60159,0.0014852,0.0014852,0.0014852
28,743.594,1.03039,1.03161,1.32085,0.90308,1,0.97167,0.52798,1.42806,1.54964,1.68896,0.0014654,0.0014654,0.0014654
29,771.442,1.08848,1.06164,1.34556,0.86373,1,0.95125,0.59941,1.18783,1.43691,1.50566,0.0014456,0.0014456,0.0014456
30,799.339,1.12146,1.03322,1.35695,0.85704,0.85714,0.91073,0.51547,1.32576,1.38371,1.63367,0.0014258,0.0014258,0.0014258
31,827.149,0.98661,0.9246,1.25757,0.7883,0.85714,0.8726,0.47978,1.40429,1.54068,1.67179,0.001406,0.001406,0.001406
32,855.377,1.04921,0.93297,1.25967,0.74179,0.85714,0.80358,0.44014,1.47863,1.584,1.78446,0.0013862,0.0013862,0.0013862
33,883.374,0.98447,0.93196,1.21902,0.8659,0.92281,0.93867,0.54183,1.33453,1.26623,1.66398,0.0013664,0.0013664,0.0013664
34,911.344,0.90176,0.86913,1.21222,0.99481,1,0.995,0.65665,1.11845,1.11176,1.45942,0.0013466,0.0013466,0.0013466
35,940.302,0.9853,0.89404,1.21115,0.98858,1,0.995,0.70595,1.11425,1.13411,1.37943,0.0013268,0.0013268,0.0013268
36,969.015,0.96993,0.85265,1.27919,0.9918,1,0.995,0.62246,1.32045,1.21143,1.71102,0.001307,0.001307,0.001307
